product_price,product_original_price,product_star_rating,product_num_ratings,product_minimum_offer_price,is_prime,climate_pledge_friendly,has_variations,coupon_discount,sales_volume
41.78,59.99,4.4,14037,41.78,1.0,0.0,1.0,0.0,134
49.95,99.0,4.5,148,49.95,0.0,0.0,0.0,0.0,38
25.99,49.99,4.1,1857,25.99,1.0,0.0,0.0,0.0,304
29.99,0.0,4.2,2188,29.99,0.0,0.0,1.0,0.0,52
0.0,0.0,4.5,231,93.0,0.0,0.0,1.0,0.0,98
57.55,70.0,4.6,3644,57.55,1.0,0.0,1.0,0.0,19
35.99,44.99,4.3,1165,35.99,1.0,0.0,1.0,0.0,187
45.99,0.0,4.0,2203,45.99,1.0,0.0,1.0,10.0,15
25.99,0.0,3.8,1376,25.99,1.0,0.0,1.0,0.0,268
0.0,0.0,4.6,1819,124.49,0.0,0.0,1.0,0.0,85
50.07,89.0,4.8,533,50.07,1.0,0.0,1.0,0.0,42
40.3,69.0,4.5,342,40.3,1.0,0.0,1.0,0.0,42
54.0,65.0,4.4,3281,54.0,1.0,0.0,1.0,0.0,44
41.78,59.99,4.4,14037,41.78,1.0,0.0,1.0,0.0,110
44.99,65.0,0.0,0,44.99,0.0,0.0,1.0,0.0,37
45.99,0.0,4.0,2203,45.99,1.0,0.0,1.0,10.0,60
61.23,70.0,4.7,4472,61.23,1.0,0.0,1.0,0.0,97
42.0,55.0,4.4,2588,42.0,1.0,0.0,1.0,0.0,246
25.99,49.99,4.1,1857,25.99,1.0,0.0,0.0,0.0,222
36.97,59.0,4.5,64018,36.97,1.0,0.0,1.0,0.0,38
25.99,0.0,3.8,1376,25.99,1.0,0.0,1.0,0.0,304
101.99,179.99,4.5,2254,101.99,0.0,0.0,1.0,0.0,447
0.0,0.0,4.5,231,93.0,0.0,0.0,1.0,0.0,115
29.99,0.0,4.2,618,29.99,1.0,0.0,1.0,0.0,49
47.99,0.0,5.0,4,47.99,1.0,0.0,0.0,0.0,41
35.99,44.99,4.3,1165,35.99,1.0,0.0,1.0,0.0,112
44.11,75.0,4.6,571,44.11,0.0,0.0,1.0,0.0,7
64.99,100.0,4.3,34,64.99,1.0,0.0,1.0,0.0,114
57.55,70.0,4.6,3644,57.55,1.0,0.0,1.0,0.0,31
50.0,70.0,4.5,104,50.0,1.0,0.0,1.0,0.0,0
50.07,89.0,4.8,533,50.07,1.0,0.0,1.0,0.0,30
48.99,52.87,4.7,4,48.99,1.0,0.0,1.0,0.0,1
29.99,0.0,4.2,2188,29.99,0.0,0.0,1.0,0.0,41
